City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Saint-Pierre,RE,75.2,-21.34,55.48,Lindsey Hôtel
4,Taoudenni,ML,76.12,22.68,-3.98,
5,Rikitea,PF,75.31,-23.12,-134.97,Pension Maro'i
6,Hilo,US,77.0,19.73,-155.09,Hilo Hawaiian Hotel
11,Yeppoon,AU,84.2,-23.13,150.73,Villa Mar Colina
14,Kontagora,NG,81.79,10.4,5.47,City Gate Inn
18,Saint-Philippe,RE,75.2,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
20,Tautira,PF,77.0,-17.73,-149.15,Pension Oaoa
34,Hithadhoo,MV,83.82,-0.6,73.08,Scoop Guest House
36,Avarua,CK,75.2,-21.21,-159.78,Paradise Inn
38,Bengkulu,ID,82.69,-3.8,102.27,Grage Hotel Bengkulu
40,Bandarbeyla,SO,81.5,9.49,50.81,REER XOOSHLE GROUP
42,Bathsheba,BB,77.0,13.22,-59.52,Atlantis Hotel
54,Mahebourg,MU,75.2,-20.41,57.7,Shandrani Beachcomber Resort & Spa
56,Boke,GN,76.66,10.94,-14.3,Hôtel Rio Nunez - Boké
58,Kismayo,SO,84.47,-0.36,42.55,Agan-Hotel
62,Bam,IR,77.65,29.11,58.36,Bam Tourist Hotel
68,Atuona,PF,77.97,-9.8,-139.03,Villa Enata
70,Kavaratti,IN,86.0,10.57,72.64,Hotels in Lakshadweep Islands
71,Georgetown,MY,89.6,5.41,100.34,Cititel Penang
73,Grand Gaube,MU,77.0,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
74,Talcher,IN,87.21,20.95,85.22,Hotel Green Park
76,Beloha,MG,88.84,-25.17,45.05,
78,Kloulklubed,PW,84.2,7.04,134.26,Storyboard Beach Resort
84,Balkanabat,TM,80.87,39.51,54.37,Nebitchi Hotel
85,Kirakira,SB,80.08,-10.45,161.92,SanBiz Lodge
89,Souillac,MU,75.2,-20.52,57.52,Bils' Villa
92,Isangel,VU,75.47,-19.55,169.27,Volcano Sea View Tree House
98,Kodar,IN,86.92,16.98,79.97,Hotel Athidhi Grand
99,Kalmunai,LK,87.04,7.42,81.82,VS Villa
104,Oriximina,BR,75.78,-1.77,-55.87,Pousada Tia Amélia
108,Bagnan,IN,87.01,22.92,88.14,Das Hotel
109,Namatanai,PG,81.63,-3.67,152.43,Namatanai Hotel
112,Lorengau,PG,81.1,-2.02,147.27,Lorengau Harbourside Hotel
116,Faanui,PF,78.87,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Wahiawa,US,75.2,21.5,-158.02,Aloha Wahiawa
122,Wanning,CN,78.58,18.8,110.4,Paradise Hotel
125,Port Macquarie,AU,78.01,-31.43,152.92,Rydges Port Macquarie
126,Manaure,CO,78.85,11.78,-72.44,Del mar vendra
129,Muncar,ID,81.03,-8.43,114.33,Zaky Homestay
134,Srandakan,ID,83.68,-7.94,110.25,Puri Brata
137,Kawalu,ID,80.92,-7.38,108.21,KOSAN UNGU UNSIK
140,Hit,IQ,82.69,33.64,42.83,Aboody Alhachem
145,Kidal,ML,81.25,18.44,1.41,
146,Kavieng,PG,83.08,-2.57,150.8,Nusa Island Retreat
148,Juba,SS,86.61,4.85,31.58,ROYAL PALACE HOTEL - JUBA
151,Kisangani,CD,77.0,0.52,25.2,Grand Ramela Hotel
163,Baoning,CN,78.8,25.34,110.03,
170,Kapit,MY,85.42,2.02,112.93,Hotel Meligai Kapit
175,Mitsamiouli,KM,79.66,-11.38,43.28,Foyer ADM
181,Wamba,NG,82.92,8.93,8.6,Roma Zee Guest House Annex
182,Quatre Cocos,MU,77.0,-20.21,57.76,Emeraude Beach Attitude Hotel
185,Guia De Isora,ES,78.8,28.21,-16.78,La Vista Pension
