City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Pierre,RE,2020-10-31 07:58:19,-21.34,55.48,75.2,50,20,19.46
1,Port Alfred,ZA,2020-10-31 07:58:19,-33.59,26.89,66.22,60,88,6.98
2,Yar-Sale,RU,2020-10-31 07:58:20,66.83,70.83,34.11,97,100,12.21
3,Port-Cartier,CA,2020-10-31 07:58:20,50.03,-66.87,26.6,73,0,8.05
4,Taoudenni,ML,2020-10-31 07:58:20,22.68,-3.98,76.12,23,44,12.41
5,Rikitea,PF,2020-10-31 07:58:20,-23.12,-134.97,75.31,71,0,5.7
6,Hilo,US,2020-10-31 07:58:20,19.73,-155.09,77.0,83,90,5.75
7,Tiksi,RU,2020-10-31 07:58:21,71.69,128.87,5.31,95,93,2.39
8,Bredasdorp,ZA,2020-10-31 07:58:21,-34.53,20.04,64.4,48,0,9.17
9,Nikolskoye,RU,2020-10-31 07:58:21,59.7,30.79,45.0,93,90,4.47
10,Codrington,AU,2020-10-31 07:58:21,-38.27,141.97,53.92,81,0,10.69
11,Yeppoon,AU,2020-10-31 07:58:22,-23.13,150.73,84.2,51,0,13.87
12,Norman Wells,CA,2020-10-31 07:58:22,65.28,-126.83,6.8,92,75,10.29
13,Turukhansk,RU,2020-10-31 07:58:22,65.82,87.98,11.68,92,51,14.07
14,Kontagora,NG,2020-10-31 07:58:23,10.4,5.47,81.79,33,8,4.61
15,Qaanaaq,GL,2020-10-31 07:58:23,77.48,-69.36,13.15,87,95,7.07
16,Albany,US,2020-10-31 07:58:23,42.6,-73.97,28.0,86,0,3.06
17,Catalao,BR,2020-10-31 07:58:24,-18.17,-47.95,66.63,96,68,3.58
18,Saint-Philippe,RE,2020-10-31 07:58:24,-21.36,55.77,75.2,50,20,19.46
19,Tonantins,BR,2020-10-31 07:53:41,-2.87,-67.8,74.79,97,100,2.8
20,Tautira,PF,2020-10-31 07:58:25,-17.73,-149.15,77.0,73,40,4.7
21,Ushuaia,AR,2020-10-31 07:58:25,-54.8,-68.3,48.2,70,75,18.34
22,Margate,GB,2020-10-31 07:58:26,51.38,1.39,57.99,77,53,8.01
23,Puerto Ayora,EC,2020-10-31 07:58:27,-0.74,-90.35,68.0,98,100,5.01
24,Saskylakh,RU,2020-10-31 07:58:27,71.92,114.08,-2.67,84,0,5.23
25,Hobart,AU,2020-10-31 07:56:59,-42.88,147.33,62.01,63,20,10.29
26,Grindavik,IS,2020-10-31 07:58:29,63.84,-22.43,41.0,86,40,18.34
27,Bilibino,RU,2020-10-31 07:58:29,68.05,166.44,3.81,88,95,1.63
28,Arraial Do Cabo,BR,2020-10-31 07:58:30,-22.97,-42.03,70.59,83,99,10.63
29,Santa Fe,AR,2020-10-31 07:58:30,-31.63,-60.7,50.0,80,0,3.67
30,Vaini,TO,2020-10-31 07:58:30,-21.2,-175.2,73.4,83,75,8.05
31,Santa Cruz,BO,2020-10-31 07:54:47,-17.8,-63.17,73.4,40,75,17.22
32,Busselton,AU,2020-10-31 07:58:31,-33.65,115.33,66.0,74,100,4.0
33,Mar Del Plata,AR,2020-10-31 07:58:32,-38.0,-57.56,50.0,93,0,5.82
34,Hithadhoo,MV,2020-10-31 07:58:32,-0.6,73.08,83.82,73,74,11.43
35,Punta Arenas,CL,2020-10-31 07:58:32,-53.15,-70.92,41.0,86,75,4.7
36,Avarua,CK,2020-10-31 07:58:33,-21.21,-159.78,75.2,73,100,18.34
37,Apolda,DE,2020-10-31 07:58:33,51.02,11.5,57.0,76,47,4.9
38,Bengkulu,ID,2020-10-31 07:58:33,-3.8,102.27,82.69,73,100,5.84
39,Faya,SA,2020-10-31 07:58:34,18.39,42.45,73.4,35,0,4.7
40,Bandarbeyla,SO,2020-10-31 07:58:34,9.49,50.81,81.5,65,55,14.88
41,Kodinsk,RU,2020-10-31 07:58:34,58.69,99.18,16.79,90,98,6.35
42,Bathsheba,BB,2020-10-31 07:58:34,13.22,-59.52,77.0,94,90,17.22
43,Comodoro Rivadavia,AR,2020-10-31 07:58:34,-45.87,-67.5,50.0,66,0,1.12
44,Henties Bay,NA,2020-10-31 07:58:35,-22.12,14.28,57.0,86,23,5.99
45,Severnyy,RU,2020-10-31 07:58:35,50.68,36.55,44.6,100,90,4.47
46,Longyearbyen,SJ,2020-10-31 07:58:35,78.22,15.64,14.0,78,40,3.36
47,Cidreira,BR,2020-10-31 07:58:35,-30.18,-50.21,63.03,70,100,9.28
48,Pacific Grove,US,2020-10-31 07:57:18,36.62,-121.92,51.8,76,1,6.85
49,Port Elizabeth,ZA,2020-10-31 07:58:36,-33.92,25.57,64.4,63,40,8.05
