City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Airai,TL,2020-10-30 05:23:31,-8.93,125.41,77.85,55,8,4.07
1,Punta Arenas,CL,2020-10-30 05:23:31,-53.15,-70.92,46.4,70,75,23.04
2,Rudiskes,LT,2020-10-30 05:23:31,54.52,24.83,46.99,100,90,6.93
3,Hithadhoo,MV,2020-10-30 05:23:31,-0.6,73.08,83.32,76,81,12.53
4,Jamestown,US,2020-10-30 05:23:32,42.1,-79.24,42.01,93,90,13.87
5,Topchikha,RU,2020-10-30 05:23:32,52.82,83.12,32.0,98,75,22.37
6,Sheksna,RU,2020-10-30 05:23:32,59.21,38.51,42.8,100,90,6.71
7,Pisco,PE,2020-10-30 05:23:33,-13.7,-76.22,62.01,87,75,12.75
8,Hermanus,ZA,2020-10-30 05:19:18,-34.42,19.23,50.0,82,44,1.01
9,Hilo,US,2020-10-30 05:23:33,19.73,-155.09,77.0,88,90,3.27
10,Rikitea,PF,2020-10-30 05:23:06,-23.12,-134.97,75.45,73,100,4.23
11,San Quintin,MX,2020-10-30 05:23:34,30.48,-115.95,48.99,23,0,5.01
12,Olinda,BR,2020-10-30 05:23:35,-8.01,-34.86,80.6,74,40,8.05
13,Souillac,MU,2020-10-30 05:23:35,-20.52,57.52,75.0,51,16,11.99
14,Vaini,TO,2020-10-30 05:23:36,-21.2,-175.2,73.4,64,20,10.29
15,Komsomolskiy,UZ,2020-10-30 05:23:37,40.43,71.72,51.8,27,0,4.7
16,Palauig,PH,2020-10-30 05:23:38,15.44,119.9,84.78,71,19,5.64
17,Victoria,HK,2020-10-30 05:20:04,22.29,114.16,80.01,65,40,6.93
18,Chernyshevskiy,RU,2020-10-30 05:23:39,63.01,112.47,6.67,88,100,8.41
19,New Norfolk,AU,2020-10-30 05:23:39,-42.78,147.06,61.0,62,64,1.99
20,Cape Town,ZA,2020-10-30 05:23:39,-33.93,18.42,55.0,81,20,2.24
21,Vila Velha,BR,2020-10-30 05:23:39,-20.33,-40.29,77.0,88,75,6.93
22,Bredasdorp,ZA,2020-10-30 05:23:40,-34.53,20.04,53.6,54,17,9.17
23,Port Alfred,ZA,2020-10-30 05:23:40,-33.59,26.89,61.18,63,96,13.96
24,Richards Bay,ZA,2020-10-30 05:19:29,-28.78,32.04,73.85,79,88,13.85
25,Saint-Philippe,RE,2020-10-30 05:23:41,-21.36,55.77,75.2,53,75,23.04
26,Raudeberg,NO,2020-10-30 05:23:41,61.99,5.14,46.0,75,0,9.13
27,Tasiilaq,GL,2020-10-30 05:23:42,65.61,-37.64,33.8,86,100,14.99
28,Busselton,AU,2020-10-30 05:23:42,-33.65,115.33,89.01,19,0,4.34
29,Dori,BF,2020-10-30 05:19:53,14.04,-0.03,78.17,21,0,4.09
30,Ponta Do Sol,PT,2020-10-30 05:23:42,32.67,-17.1,68.0,72,20,12.75
31,La Fleche,FR,2020-10-30 05:23:43,47.7,-0.08,57.2,93,90,8.05
32,Yellowknife,CA,2020-10-30 05:23:43,62.46,-114.35,12.99,94,100,1.74
33,Manggar,ID,2020-10-30 05:23:43,-2.88,108.27,85.59,69,71,8.03
34,Tuktoyaktuk,CA,2020-10-30 05:18:45,69.45,-133.04,5.32,95,47,6.29
35,Koubia,GN,2020-10-30 05:23:44,11.58,-11.9,63.14,48,42,2.75
36,Saint George,US,2020-10-30 05:18:46,37.1,-113.58,60.8,19,1,3.2
37,Komatipoort,ZA,2020-10-30 05:23:44,-25.43,31.95,73.99,70,19,5.23
38,Tommot,RU,2020-10-30 05:19:56,58.96,126.29,16.61,93,100,1.21
39,Sanmenxia,CN,2020-10-30 05:23:46,34.77,111.18,65.37,46,3,16.04
40,Nikolskoye,RU,2020-10-30 05:23:46,59.7,30.79,50.0,93,90,4.47
41,Uhlove,UA,2020-10-30 05:23:46,44.82,33.6,60.8,80,69,6.53
42,Atuona,PF,2020-10-30 05:23:46,-9.8,-139.03,78.22,68,60,15.03
43,Ushuaia,AR,2020-10-30 05:23:47,-54.8,-68.3,42.8,81,90,11.41
44,Texarkana,US,2020-10-30 05:23:47,33.43,-94.05,42.8,87,1,5.7
45,Izumo,JP,2020-10-30 05:23:47,35.37,132.77,60.8,51,75,16.11
46,Lazaro Cardenas,MX,2020-10-30 05:20:26,17.96,-102.2,78.39,85,57,2.84
47,Dikson,RU,2020-10-30 05:23:48,73.51,80.55,9.68,93,100,26.33
48,Albany,US,2020-10-30 05:20:08,42.6,-73.97,39.99,89,100,9.06
49,Arraial Do Cabo,BR,2020-10-30 05:23:48,-22.97,-42.03,74.12,95,100,11.83
50,Mataura,NZ,2020-10-30 05:23:48,-46.19,168.86,60.01,93,100,1.01
51,Boende,CD,2020-10-30 05:23:49,-0.22,20.87,68.59,98,99,1.25
52,Ostrovnoy,RU,2020-10-30 05:23:49,68.05,39.51,36.37,88,100,9.71
53,Butaritari,KI,2020-10-30 05:23:49,3.07,172.79,82.24,76,31,11.77
54,Tupi Paulista,BR,2020-10-30 05:23:50,-21.38,-51.57,70.9,77,84,4.5
55,Barrow,US,2020-10-30 05:23:50,71.29,-156.79,24.8,85,90,13.87
56,Saint-Avertin,FR,2020-10-30 05:23:50,47.36,0.74,57.2,87,90,6.93
57,Kodiak,US,2020-10-30 05:23:50,57.79,-152.41,28.4,86,1,6.93
58,Buala,SB,2020-10-30 05:23:51,-8.14,159.59,78.44,84,100,2.93
59,Avarua,CK,2020-10-30 05:23:51,-21.21,-159.78,73.4,78,100,5.82
60,Tiksi,RU,2020-10-30 05:23:51,71.69,128.87,12.15,96,99,5.28
61,Riyadh,SA,2020-10-30 05:21:46,24.69,46.72,64.4,31,0,3.36
62,Moldava Nad Bodvou,SK,2020-10-30 05:23:52,48.61,21.0,41.0,93,0,4.7
63,Ribeira Grande,PT,2020-10-30 05:23:52,38.52,-28.7,67.42,87,61,8.23
64,Coquimbo,CL,2020-10-30 05:21:39,-29.95,-71.34,53.6,87,0,2.24
65,Carnarvon,AU,2020-10-30 05:23:53,-24.87,113.63,80.6,57,0,17.22
66,El Tigre,VE,2020-10-30 05:23:53,8.89,-64.25,76.78,85,74,8.97
67,Bilibino,RU,2020-10-30 05:23:54,68.05,166.44,1.47,82,79,1.74
68,Homer,US,2020-10-30 05:19:16,59.64,-151.55,33.8,64,90,3.36
69,Muli,MV,2020-10-30 05:23:54,2.92,73.57,82.92,75,84,11.7
70,Yellandu,IN,2020-10-30 05:23:54,17.6,80.33,82.42,60,36,5.57
71,Jining,CN,2020-10-30 05:23:55,35.41,116.58,68.36,39,0,4.14
72,Pringsewu,ID,2020-10-30 05:20:11,-5.36,104.97,91.18,49,46,3.94
73,Gao,ML,2020-10-30 05:23:56,16.64,1.64,75.76,17,11,10.98
74,Sassandra,CI,2020-10-30 05:23:56,4.95,-6.08,76.23,89,97,2.39
75,Husavik,IS,2020-10-30 05:23:56,66.04,-17.34,44.6,65,90,5.82
76,Vardo,NO,2020-10-30 05:23:56,70.37,31.11,30.2,86,75,16.11
77,Altamira,BR,2020-10-30 05:22:56,-3.2,-52.21,78.51,76,68,2.55
78,Fare,PF,2020-10-30 05:19:03,-16.7,-151.02,80.13,80,0,9.91
